"A","31.65","6.73","0.247","0.007"
"AAPL","39.9","64.4","1.574","0.004"
"ABBV","63.25","53.17","0.564","0.036"
"ABT","35.25","5.07","0.148","0.018"
"ACN","31.42","7.79","0.267","0.016"
"ADBE","43.65","15.62","0.354","0.052"
"ADP","32.54","22.99","0.873","0.0204"
"AEE","21.6","2.082","0.0984","0.0292"
"AEP","19.32","1.95","0.102","0.0388"
"AES","9.07","2.82","-0.0255","0.052"
"AFL","15.9","2.389","0.16","0.019"
"ALGN","39.65","4.398","0.114",\N
"ALLE","21.61","7.77","0.408","0.0137"
"AMD","125.21","4.043","0.0326","0"
"AMGN","34.86","19.47","0.557","0.033"
"AMTM","15.76","1.265","0","0"
"AOS","19.42","5.6","0.295","0.018"
"AWK","26.26","2.49","0.097","0.0231"
"AXON","178.62","24.97","0.164","0"
"BA","0","0","0","0"
"BAX","127.2","2.063","0.0163","0.0214"
"BDX","37.61","2.482","0.0563","0.0175"
"BIIB","14.27","1.419","0.105","0"
"BR","40.66","12.47","0.318","0.015"
"LNT","23.76","2.249","0.0965","0.0314"
"MMM","13.57","15.39","1.133","0.021"
"TECH","78.43","5.49","0.0729","0.0043"

